what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1340335685791
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1340335687010
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1340335687039
started,bundle,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch",1340335687728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335687765
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1340335690518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335691396
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1340335691695
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1340335691766
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1340335691794
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1340335691821
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1340335691880
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1340335691897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335692421
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1340335698335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335698375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335698398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335784422
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340335787579
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1340335790636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335791654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340335791683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335796846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335799006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340335799029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335810962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335822194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335956777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335963914
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1340335965280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335965405
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340335966703
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1340335967873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335968417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340335968444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335974365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335975385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335976588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335976939
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1340335979389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335979515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335992366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335996944
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1340335997386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1340335998130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340335998842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340335998990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340335999541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336424870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336430759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336432627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340336450381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336450797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336459185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336462931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336465210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336470986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336474283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336486408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340336486446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336515716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336520335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336521529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336547480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340336547534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336553862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336567108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336580181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336581303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336585235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340336611109
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1340336617347
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1340336623846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340336627711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340336630956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340336633708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340336635498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340336638511
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1340336640263
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1340336640263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336642870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336672869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336704510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336717891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340336772745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336798498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336817900
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340336827435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340336834596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340336866903
